"Algorithm","Graph","File","Grammar","Time (in microseconds)","Control sum"
"hellings","MemoryAliases","wc","g1",308449,156
"hellings","MemoryAliases","wc","g2",210724,156
"hellings","MemoryAliases","gzip","g1",43791506,1458
"hellings","MemoryAliases","gzip","g2",48459662,1458
"hellings","MemoryAliases","pr","g1",3617273,385
"hellings","MemoryAliases","pr","g2",3289057,385
"hellings","MemoryAliases","bzip2","g1",4975126,315
"hellings","MemoryAliases","bzip2","g2",3201329,315
"hellings","MemoryAliases","ls","g1",56778144,854
"hellings","MemoryAliases","ls","g2",42833493,854
"mxm_cfpq","MemoryAliases","wc","g1",13294,156
"mxm_cfpq","MemoryAliases","wc","g2",9243,156
"mxm_cfpq","MemoryAliases","gzip","g1",48391,1458
"mxm_cfpq","MemoryAliases","gzip","g2",42089,1458
"mxm_cfpq","MemoryAliases","pr","g1",22292,385
"mxm_cfpq","MemoryAliases","pr","g2",16574,385
"mxm_cfpq","MemoryAliases","bzip2","g1",31699,315
"mxm_cfpq","MemoryAliases","bzip2","g2",18823,315
"mxm_cfpq","MemoryAliases","ls","g1",58411,854
"mxm_cfpq","MemoryAliases","ls","g2",36695,854
"tensor_cfg_cfpq","MemoryAliases","wc","g1",188608,156
"tensor_cfg_cfpq","MemoryAliases","wc","g2",121184,156
"tensor_cfg_cfpq","MemoryAliases","gzip","g1",3096280,1458
"tensor_cfg_cfpq","MemoryAliases","gzip","g2",2409228,1458
"tensor_cfg_cfpq","MemoryAliases","pr","g1",946807,385
"tensor_cfg_cfpq","MemoryAliases","pr","g2",683505,385
"tensor_cfg_cfpq","MemoryAliases","bzip2","g1",1236106,315
"tensor_cfg_cfpq","MemoryAliases","bzip2","g2",812961,315
"tensor_cfg_cfpq","MemoryAliases","ls","g1",3337037,854
"tensor_cfg_cfpq","MemoryAliases","ls","g2",2095611,854
"tensor_rsa_cfpq","MemoryAliases","wc","g1",76183,156
"tensor_rsa_cfpq","MemoryAliases","wc","g2",18455,156
"tensor_rsa_cfpq","MemoryAliases","gzip","g1",1269430,1458
"tensor_rsa_cfpq","MemoryAliases","gzip","g2",590516,1458
"tensor_rsa_cfpq","MemoryAliases","pr","g1",361894,385
"tensor_rsa_cfpq","MemoryAliases","pr","g2",103594,385
"tensor_rsa_cfpq","MemoryAliases","bzip2","g1",419676,315
"tensor_rsa_cfpq","MemoryAliases","bzip2","g2",84043,315
"tensor_rsa_cfpq","MemoryAliases","ls","g1",1081569,854
"tensor_rsa_cfpq","MemoryAliases","ls","g2",443533,854
